Sl No.,Links,,,,,,,,,,,,,,Category,,,Text Generated 
68,https://www.theguardian.com/sport/2025/jan/18/chloe-kim-maddie-mastro-laax-open-snowboarding-results,,,,,,,,,,,,,,Sports,,,"Chloe Kim and Maddie Mastro made history at the Laax Open by becoming the first women to land a double cork 1080 in snowboard halfpipe competition. Kim won the event with a score of 96.50, while Mastro secured second place. This marks a significant milestone in women's snowboarding, showcasing the progression of the sport."
69,https://www.theguardian.com/sport/2025/jan/18/kc-chiefs-houston-texans-taylor-swift-caitlin-clark,,,,,,,,,,,,,,Sports,,,"The Kansas City Chiefs defeated the Houston Texans 23-14 in the divisional round of the NFL playoffs, extending their dominance with a seventh consecutive appearance in the AFC Championship game. Patrick Mahomes and Travis Kelce continued their impressive partnership, while the Chiefs' defense sacked Houston quarterback CJ Stroud eight times. Despite some early struggles, the Chiefs ultimately prevailed, keeping their hopes alive for a historic third consecutive Super Bowl title."
70,https://www.theguardian.com/world/live/2025/jan/19/israel-gaza-ceasefire-live-news-updates,,,,,,,,,,,,,,International Affairs,,,"The ceasefire in the Israel-Hamas conflict began with the release of three Israeli women held hostage by Hamas, ending a prolonged ordeal."
71,https://www.theguardian.com/technology/2025/jan/19/tiktok-us-ban,,,,,,,,,,,,,,Culture,,,"The US ban on TikTok has come into effect, following a Supreme Court ruling that upheld the law mandating its sale or shutdown. 1 TikTok disappeared from app stores late on Saturday, and the company has warned that the app will gradually become unusable without regular maintenance. While President-elect Trump has indicated a willingness to work towards a solution, the future of TikTok in the US remains uncertain."
72,https://www.theguardian.com/world/2025/jan/18/chrystia-freeland-canada-video-trump,,,,,,,,,,,,,,Politics,,,"Chrystia Freeland, Canada’s former deputy prime minister, kicked off her bid to lead Canada by boasting: “Donald Trump doesn’t like me very much” in a campaign video that quickly went viral."
73,https://www.theguardian.com/sport/live/2025/jan/19/australian-open-tennis-2025-live-updates-ao-day-8-draper-v-alcaraz-djokovic-gauff-sabalenka-zverev-scores-results-latest,,,,,,,,,,,,,,Sports,,,"The tennis schedule for tomorrow is packed with exciting matches. Highlights include Rune vs. Sinner, Rybakina vs. Keys, and Sonego vs. Tien. The author encourages readers to join them around 12am GMT to follow the action."
74,https://www.theguardian.com/books/2025/jan/18/emma-healey-novel-sweat-elizabeth-is-missing-coercive-control,,,,,,,,,,,,,,Culture,,,"This excerpt explores the autobiographical elements in Emma Healey's novel ""Sweat,"" a psychological thriller about a woman trapped in a coercive relationship with a personal trainer. Healey draws from her own experiences with an obsessive exercise regime following the birth of her daughter, including restrictive eating habits and the psychological impact of striving for perfection. The article also discusses Healey's career path, highlighting her initial struggles with self-doubt and her eventual success as a novelist."
75,https://www.theguardian.com/sport/2025/jan/18/harlequins-glasgow-champions-cup-rugby-union-match-report,,,,,,,,,,,,,,Sports,,,"Harlequins secured a victory over Glasgow in the Champions Cup, securing their place in the last 16. While Quins dominated early on, they failed to secure a bonus point, which could prove crucial for their final standings. Glasgow, missing key players due to injury, struggled to find their rhythm after a strong start."
76,https://www.theguardian.com/world/live/2025/jan/19/israel-gaza-ceasefire-live-news-updates,,,,,,,,,,,,,,Politics,,,"A ceasefire agreement between Israel and Hamas has been reached. The deal includes the release of three Israeli women held hostage by Hamas and 90 Palestinian prisoners. 2 While aid deliveries are beginning to enter Gaza, the territory faces a daunting reconstruction challenge with widespread destruction and a lack of a comprehensive plan. 3 The ceasefire brings a temporary halt to the conflict that has resulted in a devastating loss of life, particularly among Palestinian civilians."
77,https://www.theguardian.com/world/2025/jan/18/judges-shot-dead-in-irans-supreme-court-building,,,,,,,,,,,,,,Politics,,,"Two judges were killed in a shooting at the Iranian Supreme Court building in Tehran. The assailant, who was not involved in any cases before the court, was also killed. The motive for the attack is still under investigation. The slain judges, known for their involvement in cases related to national security, had previously faced threats."
78,https://www.theguardian.com/music/2025/jan/18/bob-dylans-drafts-for-mr-tambourine-man-sell-for-more-than-400000,,,,,,,,,,,,,,Culture,,,"Bob Dylan's handwritten lyrics for ""Mr. Tambourine Man"" sold for over $500,000 at auction. Other items from his career, including a 1968 oil painting, a Fender Telecaster guitar, and a hand-embellished denim jacket, also fetched significant prices. The auction of 60 items from Dylan's career, curated from the collection of music journalist Al Aronowitz, brought in nearly $1.5 million."
79,https://www.theguardian.com/world/2025/jan/19/germany-is-gripped-by-election-fever-but-trump-is-pulling-the-strings,,,,,,,,,,,,,,Politics,,,"A Donald Trump-shaped shadow is looming over the campaign for Germany’s snap elections next month, with unprecedented US interference on behalf of the far-right Alternative für Deutschland and a startling degree of attention from the incoming US administration scrambling the political landscape."
80,https://english.news.cn/20250114/2adcd6b7332f46c7ac9134cccace03c2/c.html,,,,,,,,,,,,,,Politics,,,"The article discusses a meeting between Wang Huning, a top Chinese political advisor, and a Japanese ruling coalition delegation led by Hiroshi Moriyama and Makoto Nishida. They emphasized enhancing exchanges between the two nations, building on mutual understandings, and fostering regional and global prosperity. The Japanese delegation highlighted the importance of people-to-people exchanges and reducing differences to strengthen cooperation."
81,https://english.news.cn/20250114/60bff7ccbf114876be0f56d21e76c1ab/c.html,,,,,,,,,,,,,,Politics,,,"The Communist Party of China (CPC) and Japan's Liberal Democratic and Komeito parties met for the ninth China-Japan ruling parties exchange mechanism. They agreed to maintain close communication and dialogue, enhance mutual trust, and strengthen cultural and political exchanges. Discussions covered bilateral relations, international law, and cooperation on nuclear waste discharge concerns. Both sides aim to build a stable, mutually beneficial relationship and plan further dialogue in Japan later this year."
82,https://english.news.cn/20250114/2496bc7efcd540638402dcf3c146c708/c.html,,,,,,,,,,,,,,Politics,,,"The Communist Party of China (CPC) and Japan's ruling parties, Liberal Democratic Party and Komeito, held the ninth exchange meeting in Beijing, reaffirming close dialogue and mutual cooperation. Discussions included enhancing cultural and political ties, addressing nuclear waste concerns, and advancing strategic relations. They committed to fostering trust, implementing bilateral agreements, and organizing the next meeting in Japan later this year."
83,https://english.news.cn/20250113/162f76b0ea544157a21ef2b8cb182237/c.html,,,,,,,,,,,,,,Politics,,,"Wang Huning, China's top political advisor, met with Kazakhstan's Senate chairperson, Maulen Ashimbayev, in Beijing. They discussed strengthening bilateral relations through mutual respect, good neighborliness, and strategic cooperation. Both sides emphasized implementing global initiatives and advancing their partnership. Earlier, Vice Chairman Shi Taifeng also met with Ashimbayev's delegation."
84,https://english.news.cn/20250115/f1f40c6962264a9c8af119d31a6a7d64/c.html,,,,,,,,,,,,,,Politics,,,"The Biden administration has removed Cuba from the U.S. list of state sponsors of terrorism, reversing a decision made during the Trump administration. The move follows an assessment that found no credible evidence of Cuba supporting terrorism. It is part of a deal to free political prisoners in Cuba and involves easing certain financial restrictions. The Catholic Church, led by Pope Francis, played a role in facilitating the agreement."
85,https://english.news.cn/20250102/616cc24ead184c438c2f0fb53efb5528/c.html,,,,,,,,,,,,,,Entertainment,,,"The article highlights the rising popularity of winter activities in China, fueled by government initiatives to boost winter consumption. Tourist spots like Harbin's snow sculpture expo and ski resorts such as Yabuli are bustling with visitors, while indoor winter parks in southern regions are attracting families and youth. The surge in ice-and-snow tourism reflects strong consumer enthusiasm, with over 385 million leisure visits recorded last year, marking a 38% increase. This trend sets a positive outlook for the upcoming Spring Festival season."
86,https://english.news.cn/20241111/68c79071530c4a0dbd12c59e2c4311d3/c.html,,,,,,,,,,,,,,Entertainment,,,"A panda-themed tourist train debuted in Chengdu, Sichuan Province, offering high-end travel experiences with dining, accommodation, and entertainment services. Operated by the China Railway Chengdu Bureau Group, the train combines luxurious facilities with a charming panda theme to attract tourists."
87,http://english.news.cn/20240914/71429939d69d47eebd11e19efa1f6bbe/c.html,,,,,,,,,,,,,,Entertainment,,,"The 37th Floriade flower festival opened in Canberra's Commonwealth Park on September 14, 2024. This annual event showcases stunning flower displays and features activities like art and entertainment, attracting families and tourists. Visitors can enjoy vibrant floral arrangements, student art sessions, and picturesque views of the park, celebrating the spring season."
88,https://english.news.cn/20240406/1b840be774a448178b63e38bb3c79d4a/c.html,,,,,,,,,,,,,,Entertainment,,,"The Game Gang Show, a three-day gaming, Esports, and entertainment technology festival, began on April 5, 2024, in Ljubljana, Slovenia. Visitors participated in various activities, including video games, VR experiences, arcade games, and professional Esports competitions. The event attracted gaming enthusiasts of all ages, offering interactive entertainment and showcasing the latest in gaming technology."
89,https://english.news.cn/20240322/83902d31289b4de2b96cf4eafcb92ba5/c.html,,,,,,,,,,,,,,Entertainment,,,"Chinese cultural entertainment is gaining global traction through digital innovations like Webnovel, ReelShort, and the game Genshin Impact. These platforms showcase Chinese literature, short dramas, and traditional elements integrated into gaming, appealing to worldwide audiences. Success stories highlight cultural richness and global collaboration, yet challenges remain in localization and deepening emotional resonance. Experts urge creators to diversify content while retaining authentic cultural values to maintain global appeal."
90,https://english.news.cn/20250110/0888bac1562046cbb79599149c5cc069/c.html,,,,,,,,,,,,,,Health,,,"Health literacy in China has increased by 2.17 percentage points, reaching 31.87% in 2024. This growth reflects ongoing efforts to improve public health awareness and equip citizens with vital health knowledge. These advancements are part of the broader push to enhance public well-being in China."
91,https://english.news.cn/20241004/dd9d777ce015421aa39359603ab9763e/c.html,,,,,,,,,,,,,,Health,,,"The Palestinian death toll in Gaza has risen to 41,788, according to health authorities in Gaza. The ongoing Israeli attacks have caused significant casualties and widespread devastation."
92,https://english.news.cn/20240813/6008e8316d624b9b9ecee957e4d92cbe/c.html,,,,,,,,,,,,,,Health,,,"The Palestinian death toll in Gaza has reached nearly 40,000 due to ongoing Israeli attacks, as reported by Gaza's health authorities."
93,https://english.news.cn/20240701/9dac70572e02480192c45d12344e6b1c/c.html,,,,,,,,,,,,,,Health,,,"The Palestinian death toll in Gaza has reached 37,877 due to ongoing Israeli airstrikes and military operations, according to Gaza's health authorities. The violence has caused significant casualties and suffering in the region."
94,https://english.news.cn/20240926/224c3011d6c1404b8c73ada0c9e07a20/c.html,,,,,,,,,,,,,,Health,,,"Chinese scientists have achieved a clinical cure for a Type 1 diabetes patient using chemically induced pluripotent stem cell-derived islets (CiPSC-islets). The patient, insulin-dependent for 11 years, became insulin-independent 75 days after the transplant and has maintained normal blood sugar levels for over a year. This breakthrough may offer a new source of cells for diabetes therapy and advance regenerative medicine."
95,https://english.news.cn/20250115/433dde3115234bf2923759382693027d/c.html,,,,,,,,,,,,,,Economy,,,"Shanghai's economy surpassed 5 trillion yuan (approximately 695.6 billion USD) in 2024, marking a significant milestone. The city's mayor, Gong Zheng, reported this achievement as part of Shanghai's ongoing economic expansion, reflecting growth across various sectors."
96,https://english.news.cn/20250114/a7a378da359d4015a824b0fc45592016/c.html,,,,,,,,,,,,,,Economy,,,"In 2024, Beijing's GDP grew by 5.2%, with advances in high-tech sectors like pharmaceuticals and electric vehicles. The city saw a major increase in imports, exports, and tourism. It introduced real estate stabilization measures, boosting market confidence. Beijing’s innovative edge is evident in its leading role in high-tech enterprises and unicorn companies. Looking ahead, the city aims for 5% GDP growth in 2025."
97,https://english.news.cn/20250114/4bd7665dcac14654b3bd46cb592f3329/c.html,,,,,,,,,,,,,,Economy,,,"The 11th China-UK Economic and Financial Dialogue, co-chaired by Chinese Vice Premier He Lifeng and UK Chancellor Rachel Reeves, resulted in 69 mutually beneficial outcomes. Both countries committed to supporting multilateralism and economic globalization. UK's exports to China support nearly half a million jobs, and renewed engagement could add 1 billion pounds to the UK economy. British experts highlighted China's role as a key trading partner and emphasized the importance of investment, finance, and technology for the UK."
98,https://english.news.cn/20250111/8521086fbd5c46b4aa0391cfb45b04bf/c.html,,,,,,,,,,,,,,Sports,,,"The latest sports updates from China include a 30-day countdown to the 9th Asian Winter Games in Harbin, which has received record athlete registrations. In badminton, Chinese players reached the semifinals of the Malaysia Open, while tennis star Zheng Qinwen targets her first Grand Slam at the Australian Open. Additionally, China’s delegation for the Winter Universiade in Turin, Italy, has been announced, and freeskier Liu Mengting celebrated her first World Cup victory in the women's big air event."
99,http://english.news.cn/20241227/8b35e284f3504490b9d5fa325316eb8b/c.html,,,,,,,,,,,,,,Sports,,,"Xinhua's 2024 year-end highlights of Chinese sports feature notable achievements, such as China’s gold medal wins in Paris, the debut of the National Fitness Competition, and Zheng Qinwen’s Olympic tennis victory. Other significant events include the successful National Winter Games, a growing ice and snow economy, and China's leadership at the Paris Paralympics. National youth games and traditional ethnic competitions also promoted youth engagement in sports."
100,https://english.news.cn/20241224/ee5665cff5494a50a1d512adec60d450/c.html,,,,,,,,,,,,,,Environment,,,"China is encouraging four major industries to open their environmental protection facilities to the public. This initiative aims to promote green development, following the success of similar efforts. The move is seen as a part of China’s broader environmental commitment."
101,https://english.news.cn/20241224/0f642070b1c94b819907bc6e3d4dd192/c.html,,,,,,,,,,,,,,Environment,,,"China's market regulator has announced a three-year action plan to optimize the consumer environment, aiming to enhance domestic consumption. The plan will focus on improving market conditions, increasing consumer confidence, and ensuring fair practices in the consumer sector."
102,https://english.news.cn/20241005/ad76b62ad6fb4ea582a1c43e16f8c7a8/c.html,,,,,,,,,,,,,,Environment,,,"China has made significant strides in environmental protection over the past 75 years, with efforts including increased green coverage, improved biodiversity protection, and air pollution control. The Three-North Shelterbelt Forest Program and national parks like Sanjiangyuan and Giant Panda National Park have played key roles in these achievements. Additionally, air quality and water ecology have seen major improvements, with substantial investments in pollution control."
103,https://english.news.cn/20241031/ba40647f6a99472eb944ce90906c8168/c.html,,,,,,,,,,,,,,Environment,,,"A survey conducted in the third quarter of 2024 revealed that over 90% of foreign-funded companies in China are satisfied with the business environment. Nearly half of the respondents find the Chinese market increasingly attractive, with over 20% planning to increase investments, particularly in production expansion and digital transformation."
104,https://english.news.cn/20241209/f187470e8fd54c2a914fe11640fd6927/c.html,,,,,,,,,,,,,,Environment,,,"The 2024 Pearl Bay International Climate Investment and Financing Conference opened in Guangzhou, focusing on global cooperation and green initiatives. The event aims to support China's dual carbon goals and address global climate change. Key officials, including Xinhua Vice President Liu Jian and Guangzhou Mayor Sun Zhiyang, emphasized the importance of climate investment for social and economic benefits, urging more support for green and low-carbon technological innovations."
105,https://english.news.cn/20240910/5ace17ab6a49493eb814acd0548bd40b/c.html,,,,,,,,,,,,,,Courts & Crime,,,"China's foreign trade has shown resilience in the face of global challenges, with a 6% increase in goods trade volume in the first eight months of 2024. Exports rose by 6.9%, while imports grew by 4.7%. ASEAN remains China's top trading partner. Notable growth in trade was seen with the Belt and Road Initiative countries. Private enterprises saw a 10.5% increase in foreign trade volume, highlighting the country's ongoing recovery and strengthening international trade position."
106,https://english.news.cn/20241224/250d1b2e8bde44038cfb44a69d0dbd7c/c.html,,,,,,,,,,,,,,Courts & Crime,,,"Chinese police have solved over 5,200 criminal cases and dismantled more than 710 criminal gangs as part of the ongoing campaign to protect the Yangtze River. This initiative is aimed at tackling illegal activities harming the river's ecosystem."
107,https://english.news.cn/20240910/4a262456ced647d5b8d9335f643a772f/c.html,,,,,,,,,,,,,,Courts & Crime,,,"The first China-Central Asia ministerial conference on public security focused on enhancing counter-terrorism and transnational crime-fighting cooperation. Chinese State Councilor Wang Xiaohong emphasized building a security community and strengthening ties through the Belt and Road Initiative. The event saw the signing of cooperation documents between China and Central Asia, with discussions to improve law enforcement and security measures across the region."
108,https://english.news.cn/20241024/a59bef289e704ca28faf2a6d3d09b529/c.html,,,,,,,,,,,,,,Courts & Crime,,,"China and Italy have expressed interest in enhancing cooperation on drug control, transnational crime, and telecom fraud. During a meeting between Chinese State Councilor Wang Xiaohong and Italian Interior Minister Matteo Piantedosi, both sides highlighted their commitment to addressing security challenges. The talks are part of the broader 20th-anniversary celebration of the China-Italy strategic partnership."
109,https://english.news.cn/20241123/46aae9cf25b34399966fa186d93c7379/c.html,,,,,,,,,,,,,,Courts & Crime,,,"China's Supreme People's Court has committed to harsh punishments for major crimes that threaten public safety or social stability. It emphasized swift and fair trials to ensure justice is felt by the public. The court also advocates for leniency in minor offenses where offenders show remorse, but calls for efforts to address the root causes of crime."
110,https://english.news.cn/20241128/6fa87ebaef204ac6b57488583cb15b83/c.html,,,,,,,,,,,,,,International Affairs,,,"Evan Kail, an American pawnshop manager, who donated a WWII-era photo album depicting Japanese atrocities in China, is visiting China to explore the country and engage with its history. Kail's trip, which started in Beijing, has been widely welcomed on social media, and he plans to visit cities like Tianjin, Shanghai, and Nanjing, where he will pay respects at the Nanjing Massacre Memorial Hall."
111,https://english.news.cn/20250113/ae26ef8f105841fc847245555f4b8ad7/c.html,,,,,,,,,,,,,,International Affairs,,,"China's foreign trade reached a record high in 2024, with total goods imports and exports growing 5% to 43.85 trillion yuan (around 6.1 trillion USD). Exports rose 7.1%, led by high-tech products like electric vehicles and 3D printers, while imports of electronics and consumer goods also grew. China expanded trade with countries in the Belt and Road Initiative, accounting for over 50% of its total foreign trade."
112,https://english.news.cn/20250114/34158346629647f4aa59f6a1cf7c4ab3/c.html,,,,,,,,,,,,,,International Affairs,,,"Danish businesses are increasingly capitalizing on opportunities in China through the China International Import Expo (CIIE). Companies like LEGO have expanded their presence in the Chinese market, with the expo proving vital for long-term growth. Smaller enterprises, such as Inuit Seal Oil, also see it as a gateway to tapping into the vast Chinese market. Denmark’s participation at the event reflects the country's strategic focus on international trade."
113,https://english.news.cn/europe/20250114/368557514dfc4d9e856104b78f70c4f2/c.html,,,,,,,,,,,,,,International Affairs,,,"Russian Foreign Minister Sergei Lavrov emphasized that the Russia-China partnership plays a key role in maintaining global stability, especially amid rising tensions worldwide. He highlighted the strategic importance of their cooperation, including the growing ties between the Shanghai Cooperation Organization and the Eurasian Economic Union, aligning with China's Belt and Road Initiative."
114,https://english.news.cn/20250112/e2ea7cc377d1442a98b73a5d73b9dfdd/c.html,,,,,,,,,,,,,,International Affairs,,,"China's exhibition industry is rapidly growing, attracting international businesses and fostering global cooperation. With state-of-the-art infrastructure and government support, it has become a key player in global trade and cultural exchange. Events like the China Expo Forum for International Cooperation showcase the industry’s development, drawing businesses from around the world to China for new partnerships. In 2024, the industry hosted nearly 4,000 events and continues to expand its international network."
115,https://english.news.cn/20250111/c242fa73a11743e28156be0bc0be993a/c.html,,,,,,,,,,,,,,International Affairs,,,"China's exhibition industry continues to thrive, offering a platform for global industry experts to share ideas and foster cooperation. The CEFCO forum held in Tianjin exemplifies how such events promote international collaboration in the exhibition sector, driving innovation and partnership opportunities."
116,https://english.news.cn/20241221/69f1a32171604a60a366e8b6c57ea847/c.html,,,,,,,,,,,,,,Education,,,China is considering a draft law to promote education on the rule of law and strengthen law-based social governance. This initiative aims to raise public awareness of legal principles and foster a society governed by law.
117,https://english.news.cn/20241111/0f8d283d116f43889a9c3e2061f3f02e/c.html,,,,,,,,,,,,,,Education,,,"China's Ministry of Education has announced that no examinations or tests will be conducted for preschool-aged children enrolling in kindergartens, as part of efforts to alleviate academic pressure on young children. The new preschool education law, effective in June 2025, emphasizes that preschool education is an integral part of the national education system, aiming to ensure accessibility for all children, including those with disabilities."
118,https://english.news.cn/20241111/6d9ed8be7ef04b2a9c9602b87a014c11/c.html,,,,,,,,,,,,,,Education,,,"China and Italy are strengthening their higher education cooperation, aiming to create modern ""Marco Polos"" to further cultural exchange. During a recent dialogue, China committed to offering over 100 fully funded exchange opportunities for Italian universities. Both nations emphasized the role of education in addressing global challenges and fostering mutual understanding, continuing a long tradition of collaboration."
119,https://english.news.cn/20241014/a410afdc3b1748be86af196661c1d8e4/c.html,,,,,,,,,,,,,,Media,,,"A think tank report on the role of artificial intelligence (AI) in global news media was unveiled at the 6th World Media Summit in Urumqi, China. The report explores the opportunities and challenges AI presents to the industry and discusses the evolving responsibilities of news media. It was developed through extensive interviews and surveys with global media organizations, tech companies, and research institutes."
120,https://www.news24.com/sport/cricket/sa20/markram-chuffed-as-sunrisers-get-sa20-campaign-back-on-track-secret-is-not-to-become-too-panicky-20250120,,,,,,,,,,,,,,Sports,,,"Aiden Markram expressed satisfaction as his team, Sunrisers Eastern Cape, bounced back in the SA20 campaign after a tough start. Markram highlighted the importance of maintaining composure and avoiding panic, which he believes has been key to their recovery. His remarks reflect the team's approach to regaining momentum and staying focused amidst the challenges of the tournament."
121,https://www.news24.com/sport/motorsport/formulaone/hamilton-begins-new-chapter-at-ferrari-20250120,,,,,,,,,,,,,,Sports,,,"Lewis Hamilton has officially joined Ferrari as a driver, marking a significant move in his illustrious career. 1 He expressed his excitement about this new chapter and his eagerness to contribute to the team's success. Hamilton will begin driving a Ferrari F1 car for the first time on Wednesday at the Fiorano circuit, where he is limited to a maximum of 1,000 kilometers."
122,https://www.news24.com/sport/cricket/sa20/live-sa20-paarl-royals-v-joburg-super-kings-20250120-2,,,,,,,,,,,,,,Sports,,,"The Paarl Royals defeated the Joburg Super Kings by six wickets in the SA20, thanks to a match-winning partnership between Mitchell van Buuren and David Miller. The Super Kings, despite Johnny Bairstow's half-century, were restricted to 146-6. The Royals chased down the target with four balls to spare, with Miller finishing unbeaten on 40."
123,https://www.news24.com/sport/rugby/unitedrugbychampionship/kolisi-makes-no-excuses-after-sharks-66-12-hammering-at-bordeaux-we-need-to-play-better-20250120,,,,,,,,,,,,,,Sports,,,"Siya Kolisi, captain of the Sharks, took responsibility for their 66-12 loss to Bordeaux, acknowledging that the team’s performance fell short of expectations. He emphasized that improvements were needed in preparation and execution, stressing the importance of learning from the heavy defeat. Kolisi's honest assessment came after a tough match that highlighted areas for growth as the Sharks look ahead to future games."
124,https://www.news24.com/sport/tennis/live-australian-open-day-2-20250113,,,,,,,,,,,,,,Sports,,,"Jannik Sinner defeated Ben Shelton in the Australian Open semifinals, setting up a title match against Alexander Zverev. Novak Djokovic retired injured during his semifinal match against Zverev, casting doubt on his future Australian Open appearances. Sinner, seeking to defend his title, will face Zverev in the final, aiming for his first Grand Slam win."
125,https://www.news24.com/news24/politics/political-parties/something-has-to-be-done-anc-top-brass-moves-to-reconfigure-kzn-gauteng-leadership-20250120,,,,,,,,,,,,,,Politics,,,"The ANC's top leadership is focusing on addressing leadership issues in KwaZulu-Natal and Gauteng, South Africa's most populous provinces, amid concerns over the party's declining performance. Efforts to ""reconfigure"" the provincial leadership aim to strengthen unity, improve governance, and prepare for the 2024 elections. The ANC seeks to address internal divisions and regain public trust to secure better election outcomes."
126,https://www.news24.com/news24/politics/government/opposition-parties-want-ramaphosa-to-act-against-ntshavheni-after-r25m-tender-fraud-charges-20250120,,,,,,,,,,,,,,Politics,,,"Opposition parties in South Africa are urging President Cyril Ramaphosa to take action against Minister Khumbudzo Ntshavheni following allegations of her involvement in a R25 million tender fraud scandal. The allegations relate to tenders awarded during her tenure as a municipal manager. The opposition claims these charges compromise her integrity and credibility, demanding accountability to uphold public trust in government. The ANC has yet to respond to the calls for action."
127,https://www.news24.com/news24/southafrica/news/mapisa-nqakula-must-wait-two-months-for-state-documents-to-be-disclosed-in-corruption-case-20250120,,,,,,,,,,,,,,Politics,,,"In South Africa, National Assembly Speaker Nosiviwe Mapisa-Nqakula must wait two months for the state to disclose documents linked to her corruption case. The case involves allegations of corruption and fraud during her tenure as defense minister. The delay was announced during a court hearing, as the state cited the need for more time to prepare. Mapisa-Nqakula denies the charges, emphasizing her intent to defend herself. The legal proceedings remain under close public and political scrutiny."
128,https://www.news24.com/fin24/economy/namibian-court-freezes-r52m-linked-to-alleged-illegal-coal-mine-in-mpumalanga-20250120,,,,,,,,,,,,,,Business,,,"A Namibian court has frozen approximately R52 million linked to an allegedly illegal coal mining operation in Mpumalanga, South Africa. The funds are connected to entities and individuals accused of operating without proper environmental and mining permits. This legal move is part of ongoing investigations into the environmental and regulatory breaches tied to the operation. The freezing order aims to prevent the dissipation of funds while the case unfolds."
129,https://www.news24.com/fin24/companies/trustco-plots-jse-exit-after-years-of-accounting-battles-and-market-challenges-20250120,,,,,,,,,,,,,,Business,,,"Trustco Group Holdings is preparing to delist from the Johannesburg Stock Exchange (JSE) after years of accounting disputes and market challenges. The Namibian-based company has faced scrutiny over its financial practices, which led to regulatory action and suspension of trading. Trustco has indicated that the exit is part of a strategy to focus on its core operations and adapt to changing market dynamics. The move marks the end of its contentious history on the JSE."
130,https://www.news24.com/fin24/companies/business-brief-south32-feels-some-sa-pressure-south-korea-unveils-r5trn-in-exporter-support-20250120,,,,,,,,,,,,,,Business,,,"South32 faces challenges in South Africa with reduced coal production and economic pressures. Meanwhile, South Korea has announced a significant economic support package worth R5 trillion to boost exporters amidst global economic challenges. This package includes financial assistance and measures to strengthen the country's trade capabilities."
131,https://www.news24.com/fin24/companies/or-tambo-has-enough-fuel-for-the-rest-of-the-month-and-its-working-on-february-says-acsa-20250120,,,,,,,,,,,,,,Business,,,"OR Tambo International Airport has enough jet fuel to last until the end of January, according to Airports Company South Africa (ACSA). Efforts are underway to secure additional fuel supplies for February to ensure continued operations. The airport's fuel stock levels are being closely monitored, and contingency measures are in place to address any disruptions."
132,https://www.news24.com/fin24/companies/new-afrikaans-uber-in-gauteng-only-employs-drivers-who-can-speak-the-language-20250120,,,,,,,,,,,,,,Business,,,"Wanatu, an e-hailing service in Centurion and Pretoria, hires Afrikaans-speaking drivers and prioritizes safety with tracking devices, cameras, and panic buttons in its fleet of Toyota hybrids. Drivers are salaried, ensuring compliance with safety protocols. The service targets underserved groups, including children, the elderly, and people with disabilities, while offering school and airport transport options. Its app supports English translation for users."
133,https://www.news24.com/fin24/markets/rand-bounces-as-dollar-takes-hit-on-report-that-trump-will-delay-tariffs-20250120,,,,,,,,,,,,,,Business,,,"The South African rand strengthened as the U.S. dollar weakened following reports that former President Donald Trump may delay tariffs. The dollar's dip provided some relief to emerging market currencies, including the rand, which rebounded after previous pressure. This development highlights the global market's sensitivity to U.S. policy decisions and their impact on trade and currency movements."
134,https://www.news24.com/fin24/climate_future/news/indonesia-launches-international-carbon-exchange-20250120,,,,,,,,,,,,,,Environment,,,"Indonesia has opened its carbon exchange to international buyers, aiming to fund its green transition and meet climate goals, including carbon neutrality by 2050. The exchange, launched in 2023 for domestic participants, now allows foreign investors to buy credits generated from emission-reducing projects. The government guarantees credit integrity but faces skepticism about market demand and alignment with emissions strategies. Funds raised are intended to support renewable energy projects and reduce reliance on coal, but detailed plans remain limited."
135,https://www.news24.com/fin24/markets/bank-of-america-expects-rand-at-around-r17-by-year-end-and-a-sp-ratings-upgrade-20250124,,,,,,,,,,,,,,Economy,,,The Bank of America predicts the South African rand will strengthen to around R17 per US dollar by the end of the year. The bank also anticipates that South Africa may receive a credit ratings upgrade from S&P Global due to improving fiscal metrics and economic performance. These projections reflect optimism about South Africa's economic prospects despite global uncertainties.
136,https://www.news24.com/fin24/markets/bitcoin-hits-record-r2-million-as-trump-prepares-to-be-sworn-in-20250120,,,,,,,,,,,,,,Marketing,,,"Bitcoin reached a record high of over $109,000 as optimism grew around Donald Trump's presidency and potential cryptocurrency deregulation. Trump's pro-crypto stance, including appointing Paul Atkins to lead the SEC, bolstered confidence. Additionally, Trump launched a meme coin, $TRUMP, which surged in market value. Analysts predict his policies could benefit growth but raise inflation. Bitcoin's volatile history, regulatory scrutiny, and environmental concerns remain focal points, as its mining demands high energy consumption."
137,https://www.news24.com/fin24/economy/sa-may-exit-junk-status-by-2027-says-godongwana-20250120,,,,,,,,,,,,,,Economy,,,"South African Finance Minister Enoch Godongwana expressed optimism that the country could exit junk status by 2027. He outlined plans to stabilize the economy, focusing on structural reforms, debt reduction, and boosting growth. Godongwana's statement comes amidst efforts to improve South Africa's credit ratings and economic outlook, with a goal of restoring investor confidence and achieving long-term fiscal health."
